nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
PCMACS,NA,1693776273,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1 mean v3 by id3,90001,3,dplyr,1.1.2,,group_by,1,1.11,NA,TRUE,26998588;4498638,0,NA,FALSE
PCMACS,NA,1693776275,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1 mean v3 by id3,90001,3,dplyr,1.1.2,,group_by,2,1.08,NA,TRUE,26998588;4498638,0.01,NA,FALSE
PCMACS,NA,1693776275,groupby,G1_1e7_1e2_10_0.csv,10000000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,1,0.47,NA,TRUE,272.9736;727.9377;4549.184,0,NA,FALSE
PCMACS,NA,1693776276,groupby,G1_1e7_1e2_10_0.csv,10000000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,2,0.49,NA,TRUE,272.9736;727.9377;4549.184,0,NA,FALSE
PCMACS,NA,1693776277,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1:v3 by id6,90001,4,dplyr,1.1.2,,group_by,1,0.93,NA,TRUE,26998588;71993788;449932870,0,NA,FALSE
PCMACS,NA,1693776278,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1:v3 by id6,90001,4,dplyr,1.1.2,,group_by,2,0.93,NA,TRUE,26998588;71993788;449932870,0.02,NA,FALSE
PCMACS,NA,1693776279,groupby,G1_1e7_1e2_10_0.csv,10000000,median v3 sd v3 by id4 id5,8281,4,dplyr,1.1.2,,group_by,1,0.72,NA,TRUE,413825.5;239012.5,0,NA,FALSE
PCMACS,NA,1693776280,groupby,G1_1e7_1e2_10_0.csv,10000000,median v3 sd v3 by id4 id5,8281,4,dplyr,1.1.2,,group_by,2,0.7,NA,TRUE,413825.5;239012.5,0,NA,FALSE
PCMACS,NA,1693776281,groupby,G1_1e7_1e2_10_0.csv,10000000,max v1 - min v2 by id3,90001,2,dplyr,1.1.2,,group_by,1,0.5,NA,TRUE,359814,0,NA,FALSE
PCMACS,NA,1693776281,groupby,G1_1e7_1e2_10_0.csv,10000000,max v1 - min v2 by id3,90001,2,dplyr,1.1.2,,group_by,2,0.5,NA,TRUE,359814,0,NA,FALSE
